DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
81,4,2025,2,70,25,0.0,2.18831,27.21558,35.81688,1.0,1.0,0.0,3.0,False,1.0
4,4,2025,2,70,25,0.0,2.18831,27.21558,35.81688,3.0,3.0,0.152,1.0,False,2.0
63,2,2025,2,70,25,0.0,2.18831,27.21558,35.81688,2.0,2.0,0.082,8.0,False,3.0
1,1,2025,2,70,25,0.0,2.18831,27.21558,35.81688,4.0,4.0,0.176,20.0,False,4.0
31,8,2025,2,70,25,0.0,2.18831,27.21558,35.81688,11.0,11.0,0.984,17.0,False,5.0
12,2,2025,2,70,25,0.0,2.18831,27.21558,35.81688,8.0,8.0,0.462,2.0,False,6.0
23,9,2025,2,70,25,0.0,2.18831,27.21558,35.81688,10.0,10.0,1.065,15.0,False,7.0
87,8,2025,2,70,25,0.0,2.18831,27.21558,35.81688,17.0,17.0,1.377,11.0,False,8.0
18,10,2025,2,70,25,0.0,2.18831,27.21558,35.81688,14.0,14.0,1.1320000000000001,13.0,False,9.0
55,9,2025,2,70,25,0.0,2.18831,27.21558,35.81688,15.0,15.0,1.199,10.0,False,10.0
6,6,2025,2,70,25,0.0,2.18831,27.21558,35.81688,7.0,7.0,0.438,9.0,False,11.0
30,1,2025,2,70,25,0.0,2.18831,27.21558,35.81688,20.0,20.0,1.533,4.0,False,12.0
7,5,2025,2,70,25,0.0,2.18831,27.21558,35.81688,18.0,18.0,1.451,16.0,False,13.0
5,7,2025,2,70,25,0.0,2.18831,27.21558,35.81688,19.0,19.0,1.5,12.0,False,14.0
27,7,2025,2,70,25,0.0,2.18831,27.21558,35.81688,12.0,12.0,0.991,19.0,False,15.0
22,6,2025,2,70,25,0.0,2.18831,27.21558,35.81688,9.0,9.0,0.997,7.0,False,16.0
14,10,2025,2,70,25,0.0,2.18831,27.21558,35.81688,13.0,13.0,1.047,14.0,True,17.0
16,3,2025,2,70,25,0.0,2.18831,27.21558,35.81688,6.0,6.0,0.38,5.0,True,18.0
44,3,2025,2,70,25,0.0,2.18831,27.21558,35.81688,5.0,5.0,0.286,6.0,True,19.0
10,5,2025,2,70,25,0.0,2.18831,27.21558,35.81688,16.0,16.0,1.351,18.0,True,20.0
