DriverNumber,FullName,TeamName,Season,RoundNumber,RacesInGEEra,Location,Rain,WindSpeed,AirTemp,TrackTemp,QualifyingPos,StartingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,Max Verstappen,1,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,1.0,1.0,0.0,20.0,False,1.0
44,Lewis Hamilton,2,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,3.0,3.0,0.372,2.0,False,2.0
14,Fernando Alonso,10,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,4.0,4.0,0.407,6.0,False,3.0
18,Lance Stroll,10,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,6.0,6.0,0.576,4.0,False,4.0
11,Sergio Perez,1,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,20.0,20.0,76.732,1.0,False,5.0
4,Lando Norris,4,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,13.0,13.0,1.387,16.0,False,6.0
27,Nico Hulkenberg,8,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,10.0,10.0,1.003,14.0,False,7.0
81,Oscar Piastri,4,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,16.0,16.0,1.7850000000000001,13.0,False,8.0
24,Guanyu Zhou,7,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,17.0,17.0,1.808,19.0,False,9.0
22,Yuki Tsunoda,6,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,12.0,12.0,1.367,15.0,False,10.0
77,Valtteri Bottas,7,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,19.0,19.0,1.982,17.0,False,11.0
55,Carlos Sainz,3,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,5.0,5.0,0.538,7.0,False,12.0
10,Pierre Gasly,5,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,9.0,9.0,0.943,11.0,False,13.0
31,Esteban Ocon,5,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,11.0,11.0,1.036,9.0,False,14.0
21,Nyck De Vries,6,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,15.0,15.0,1.603,12.0,False,15.0
2,Logan Sargeant,9,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,18.0,18.0,1.825,8.0,False,16.0
20,Kevin Magnussen,8,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,14.0,14.0,1.397,10.0,False,17.0
63,George Russell,2,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,2.0,2.0,0.236,3.0,True,18.0
23,Alexander Albon,9,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,8.0,8.0,0.877,18.0,True,19.0
16,Charles Leclerc,3,2023,3,25,Melbourne,0.0,1.12703,17.44955,30.13964,7.0,7.0,0.637,5.0,True,20.0
