DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,1.0,1.0,0.0,5.0,False,1.0
4,4,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,3.0,3.0,0.616,2.0,False,2.0
81,4,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,2.0,2.0,0.581,3.0,False,3.0
16,3,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,4.0,4.0,0.665,6.0,False,4.0
44,2,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,7.0,7.0,1.031,8.0,False,5.0
55,3,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,6.0,6.0,0.973,4.0,False,6.0
63,2,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,8.0,8.0,1.342,7.0,False,7.0
14,10,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,10.0,10.0,1.683,17.0,False,8.0
31,5,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,14.0,14.0,1.709,12.0,False,9.0
10,5,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,12.0,12.0,1.6320000000000001,14.0,False,10.0
40,6,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,11.0,11.0,1.631,9.0,False,11.0
22,6,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,9.0,9.0,1.426,11.0,False,12.0
24,7,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,19.0,19.0,2.521,16.0,False,13.0
27,8,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,18.0,18.0,2.422,15.0,False,14.0
20,8,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,15.0,15.0,1.788,18.0,False,15.0
23,9,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,13.0,13.0,1.6600000000000001,20.0,True,16.0
2,9,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,20.0,20.0,88.877,13.0,True,17.0
18,10,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,17.0,17.0,2.304,10.0,True,18.0
11,1,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,5.0,5.0,0.773,1.0,True,19.0
77,7,2023,16,38,18,0.0,0.0,7.475,27.075000000000003,55.25,16.0,16.0,2.172,19.0,True,20.0
