DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,1.0,1.0,0.0,5.0,False,1.0
11,1,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,5.0,5.0,0.358,1.0,False,2.0
55,3,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,4.0,4.0,0.328,2.0,False,3.0
16,3,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,2.0,2.0,0.228,4.0,False,4.0
63,2,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,3.0,3.0,0.306,9.0,False,5.0
4,4,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,7.0,7.0,0.435,8.0,False,6.0
44,2,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,9.0,9.0,0.531,3.0,False,7.0
81,4,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,8.0,8.0,0.504,7.0,False,8.0
14,10,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,6.0,6.0,0.363,12.0,False,9.0
18,10,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,12.0,12.0,1.021,6.0,False,10.0
24,7,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,17.0,17.0,1.5779999999999998,16.0,False,11.0
20,8,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,15.0,15.0,1.35,10.0,False,12.0
3,6,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,14.0,14.0,1.099,11.0,False,13.0
22,6,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,11.0,11.0,0.95,14.0,False,14.0
23,9,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,13.0,13.0,1.042,18.0,False,15.0
27,8,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,10.0,10.0,1.323,15.0,False,16.0
31,5,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,19.0,19.0,1.6139999999999999,20.0,False,17.0
10,5,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,20.0,20.0,1.7690000000000001,19.0,False,18.0
77,7,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,16.0,16.0,1.577,17.0,False,19.0
2,9,2024,1,45,1,0.0,0.0,5.2749999999999995,15.649999999999999,61.5,18.0,18.0,1.591,13.0,False,20.0
