DriverNumber,FullName,TeamName,Season,RoundNumber,RacesInGEEra,Location,Rain,WindSpeed,AirTemp,TrackTemp,QualifyingPos,StartingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
63,George Russell,2,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,1.0,1.0,0.0,10.0,False,1.0
44,Lewis Hamilton,2,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,10.0,10.0,15.794,1.0,False,2.0
55,Carlos Sainz,3,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,2.0,2.0,0.098,4.0,False,3.0
16,Charles Leclerc,3,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,4.0,4.0,0.471,2.0,False,4.0
1,Max Verstappen,1,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,5.0,5.0,0.485,16.0,False,5.0
4,Lando Norris,4,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,6.0,6.0,0.696,8.0,False,6.0
81,Oscar Piastri,4,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,8.0,8.0,0.721,6.0,False,7.0
27,Nico Hulkenberg,8,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,9.0,9.0,0.75,12.0,False,8.0
22,Yuki Tsunoda,6,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,7.0,7.0,0.717,15.0,False,9.0
11,Sergio Perez,1,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,16.0,15.0,1.843,5.0,False,10.0
14,Fernando Alonso,10,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,17.0,16.0,1.946,20.0,False,11.0
20,Kevin Magnussen,8,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,12.0,12.0,0.985,9.0,False,12.0
24,Guanyu Zhou,7,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,13.0,13.0,1.254,19.0,False,13.0
43,Franco Colapinto,9,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,14.0,20.0,1.437,18.0,False,14.0
18,Lance Stroll,10,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,20.0,18.0,2.172,17.0,False,15.0
30,Liam Lawson,6,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,15.0,14.0,1.9449999999999998,7.0,False,16.0
31,Esteban Ocon,5,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,11.0,11.0,0.909,3.0,False,17.0
77,Valtteri Bottas,7,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,19.0,19.0,2.118,13.0,False,18.0
23,Alexander Albon,9,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,18.0,17.0,2.113,14.0,True,19.0
10,Pierre Gasly,5,2024,22,66,Las Vegas,0.0,2.8986,17.82517,17.72378,3.0,3.0,0.352,11.0,True,20.0
